b;b;o;o;o;z;o;o;o;o;z;o;o;o;o;z;o;o;o;x
b;o;o;o;|;|;o;o;o;|;|;o;o;|;|;|;o;o;m;o
o;o;o;o;o;|;|;o;j;o;o;j;o;o;o;|;o;o;o;o
o;o;o;b;~;~;o;|;o;o;o;o;b;b;o;o;z;o;o;o
o;|;|;~;~;~;~;o;|;o;r;o;|;o;o;o;o;|;|;z
t;|;|;|;~;~;~;~;|;o;o;|;b;o;z;o;o;o;o;o
o;|;o;|;o;~;~;~;o;o;|;o;o;o;o;|;j;o;o;o
o;o;o;|;a;o;~;b;o;|;o;o;o;o;|;o;o;b;|;o
o;o;o;|;|;|;|;o;o;o;o;z;o;|;b;c;o;o;|;o
o;|;j;o;o;b;o;o;o;o;o;o;|;o;o;o;o;o;o;z
t;|;o;o;o;c;o;|;o;o;o;o;o;|;o;o;o;j;o;o
o;|;o;o;o;o;|;o;t;o;|;~;o;o;|;|;|;o;|;o
o;o;o;o;j;o;o;o;|;o;o;o;~;~;~;o;d;|;|;o
o;|;o;o;o;o;o;|;o;o;o;|;o;~;~;~;~;o;|;o
o;|;o;|;o;t;o;j;o;b;b;|;o;~;~;~;~;o;|;z
t;|;|;o;o;|;o;o;o;o;r;o;|;|;~;~;~;|;|;o
o;o;o;t;o;o;o;o;o;o;o;o;o;o;|;~;b;o;o;o
o;o;o;o;|;o;o;o;o;o;j;o;o;o;o;o;o;o;o;o
o;n;o;o;|;|;|;o;o;|;|;|;o;o;|;|;o;o;o;b
x;o;o;o;t;o;o;o;o;t;o;o;o;o;t;o;o;o;b;b
